Title,Address,Wohnungstyp,Etage,Wohnflaeche,Bezugsfrei_ab,Zimmer,Schlafzimmer,Badezimmer,District,Haustiere,Kaltmiete,Nebenkosten,Heizkosten,Gesamtmiete,Kaution_o_genossenschaftsanteile,Agency,URL
"NEU - helle, lichtdurchflutete Wohnung in einer eleganten Wohnanlage","Lehderstraße 30, 13086 Berlin, Weißensee (Weißensee)", ,0 von 5,"52,2 m²",sofort,2,1,1, ,Nach Vereinbarung,710 €,+ 105 €,+ 60 €,875 €, , ,http://www.immobilienscout24.de/expose/107959241
"Schöne, renovierte 3-Zimmer Wohnung mit Balkon in Friedrichshain - Besichtigung 12.12 (17:00-18:30)","Hausburgstraße 14, 10249 Berlin, Friedrichshain (Friedrichshain)", ,3 von 4,78 m²,sofort,3,2,1, ,Nach Vereinbarung,1.138 €,+ 312 €,in Nebenkosten enthalten,1.450 €, , ,http://www.immobilienscout24.de/expose/108777706
Premium-Wohnen im Haus Cumberland,10707 Berlin / Charlottenburg Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,2 von 5,164 m², ,4,3,2, , ,"4.481,35 €","+ 513,65 €",in Nebenkosten enthalten,4.995 €, , ,http://www.immobilienscout24.de/expose/107887228
Luxus Maisonettewohnung im Hofjäger Palais im Diplomaten Park,"Köbisstraße 3, 10785 Berlin / Tiergarten, Tiergarten (Tiergarten)", ,5 von 5,"253,8 m²",01.12.2018,"4,5",3,2, , ,4.190 €,+ 810 €,in Nebenkosten enthalten,5.000 €, , ,http://www.immobilienscout24.de/expose/90635450
Besichtigungstermin 18.12.2018 um 17.00 Uhr,"Grüntaler Str. 87, 13357 Berlin, Wedding (Wedding)", ,1 von 5,"89,69 m²",sofort,"2,5",1,1, ,Nach Vereinbarung,"631,98 €",+ 200 €,+ 80 €,"919,98 €", , ,http://www.immobilienscout24.de/expose/108373460
"Südterrasse, Garten, EBK: helle 2-Zimmer-Wohnung für Erstbezug am Mauerpark","Lichtburgring 14, 10437 Berlin, Prenzlauer Berg (Prenzlauer Berg)", ,0 von 4,68 m²,01.01.2019,2,1,1, ,Nach Vereinbarung,1.090 €,+ 240 €,in Nebenkosten enthalten,1.330 €, , ,http://www.immobilienscout24.de/expose/107503191
schöne 2-Zimmer Wohnung mit EBK und Balkon,"Paul-Schneider-Str. 47, 12247 Berlin, Lankwitz (Steglitz)", ,2 von 3,60 m²,01.01.2019,2,1,1, ,Nach Vereinbarung,745 €,+ 75 €,+ 75 €,895 €, , ,http://www.immobilienscout24.de/expose/108848980
"Schöne zwei Zimmer Wohnung in Berlin, Lichterfelde (Steglitz)",14167 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,2 von 4,53 m²,ab sofort,2, ,1, ,Nein,790 €,+ 160 €,in Nebenkosten enthalten,950 €, , ,http://www.immobilienscout24.de/expose/108065036
"+++Feuerlandhöfe auf zum letzten Abschnitt, wohnen in neuen Dimensionen+++","Schwartzkopffstraße 7F, 10115 Berlin, Mitte (Mitte)", ,4 von 5,"118,06 m²",01.02.2019,4,3,2, ,Nach Vereinbarung,"2.006,01 €","+ 194,79 €","+ 100,31 €","2.306,06 €", , ,http://www.immobilienscout24.de/expose/108707813
"1 390 €, 84 m², 3 Room(s)","Kopernikusstraße 18a, 10245 Berlin, Friedrichshain (Friedrichshain)", ,4 von 5,84 m²,15.01.2019,3,2,1, ,Nach Vereinbarung,1.390 €,+ 200 €,in Nebenkosten enthalten,1.590 €, , ,http://www.immobilienscout24.de/expose/108696082
"Schöne 3-Zi-Wohnung, P'Berg, befristet für 2-3 Jahre / 3-room flat, temporary sublet, unfurnished",10405 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,1 von 5,89 m²,ab sofort,3, ,1, ,Nein,1.270 €,+ 200 €,in Nebenkosten enthalten,1.470 €, , ,http://www.immobilienscout24.de/expose/107996506
"✌✌✌ Besichtigung 12., 14., 15.12 Erstbezug Prenzlauer Berg Berliner Mauerpark","Gleimstraße 8, 10437 Berlin, Prenzlauer Berg (Prenzlauer Berg)", ,3 von 4,"85,91 m²",16.12.2018,3,2,2, ,Nach Vereinbarung,1.460 €,+ 237 €,in Nebenkosten enthalten,1.698 €, , ,http://www.immobilienscout24.de/expose/107099567
"2 Zimmer-Penthouse mit hochwertiger Ausstattung, Aufzug & großartigem Blick über die Stadt","Alte Jakobstraße 75, 10179 Berlin, Mitte (Mitte)", , ,"97,97 m²",sofort,2, ,1, ,Nach Vereinbarung,1.575 €,+ 255 €,inkl. 120 €,1.830 €, , ,http://www.immobilienscout24.de/expose/108801874
*Barrierefrei und rolligerecht für Alt und Jung*Sehr schöne Wohnung mit Terrasse zur Erstnbenutzung*,"Kienhorststr. 134, 13403 Berlin, Reinickendorf (Reinickendorf)", ,0 von 3,98 m²,sofort,3,1,1, ,Nach Vereinbarung,1.218 €,+ 243 €,+ 116 €,1.577 €, , ,http://www.immobilienscout24.de/expose/106151664
1 Zimmer Wohnung am Ring !,10409 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,1,"42,73 m²",15.12.0018,1, ,1, , ,"649,92 €","+ 107,93 €",in Nebenkosten enthalten,"757,85 €", , ,http://www.immobilienscout24.de/expose/108557460
4-Zimmer-Altbau mit gehobener Ausstattung inkl. Wohnküche und modernes Bad,"Potsdamer Straße 38, 14163 Berlin, Zehlendorf (Zehlendorf)", ,2 von 3,117 m²,15.06.2018,4,3,2, , ,1.680 €,"+ 187,20 €",nicht in Nebenkosten enthalten,"1.867,20 € (zzgl. Heizkosten)", , ,http://www.immobilienscout24.de/expose/105165825
Lichtdurchflutete Dachgeschoss-Maisonette im Markgrafenhaus!,"Mohrenstraße 45, 10117 Berlin, Mitte (Mitte)", ,7 von 7,125 m²,sofort,3,2,2, , ,1.875 €,+ 615 €,keine Angabe,2.490 € (zzgl. Heizkosten), , ,http://www.immobilienscout24.de/expose/107242598
Familien Maisonettewohnung in Stadtvilla mit Urlaubsflair,"Drewitzer Straße 54, 13467 Berlin-Hermsdorf, Hermsdorf (Reinickendorf)", ,2 von 3,"107,25 m²",sofort,3,2,2, , ,1.019 €,+ 146 €,+ 108 €,1.273 €, , ,http://www.immobilienscout24.de/expose/108101475
"Schöne, geräumige zwei Zimmer Wohnung in Berlin, Prenzlauer Berg","Hufelandstraße 11A, 10407 Berlin, Prenzlauer Berg (Prenzlauer Berg)", ,3 von 5,133 m²,ab sofort,2, ,1, ,Nein,"2.194,50 €",+ 333 €,in Nebenkosten enthalten,"2.527,50 €", , ,http://www.immobilienscout24.de/expose/107755748
Freundliche 3-Zimmer-Wohnung mit Terrasse und Gartenanteil im Wedding,"Transvaalstr. 16, 13351 Berlin, Wedding (Wedding)", ,0 von 4,79 m²,16.1.2019,3, ,1, , ,970 €,+ 260 €,in Nebenkosten enthalten,1.230 €, , ,http://www.immobilienscout24.de/expose/108821529
Zentrales Wohnen im Carré Voltaire!,"Else-Lasker-Schüler-Straße_ 4, 10785 Berlin, Schöneberg (Schöneberg)", ,3 von 6,111 m²,sofort,3,2,2, , ,2.000 €,+ 395 €,in Nebenkosten enthalten,2.395 €, , ,http://www.immobilienscout24.de/expose/108612692
Erstbezug! 2-Zimmer-Wohnung mit hochwertiger Einbauküche und edlem Eichenparkett,"Palisadenstraße 65, 10243 Berlin, Friedrichshain (Friedrichshain)", , ,"61,84 m²",sofort,2, ,1, ,Nach Vereinbarung,991 €,+ 111 €,inkl. 53 €,1.155 €, , ,http://www.immobilienscout24.de/expose/108679724
Bergmannkiez Altbau 1 Zimmer Appartement,"Schleiermacherstraße 15, 10961 Berlin, Kreuzberg (Kreuzberg)", ,1 von 4,50 m²,ab sofort,1,1,1, ,Ja,670 €,+ 60 €,inkl. 60 €,790 €, , ,http://www.immobilienscout24.de/expose/90045257
"Erstbezug nach Sanierung! Altbauwohnung mit 2 Zimmern, Bad, Küche und Loggia (VH 1. OG links)","Vinetastraße 57 A, 13189 Berlin, Pankow (Pankow)", ,1 von 4,"59,19 m²",sofort,2,2,1, ,Nach Vereinbarung,"828,38 €",+ 90 €,+ 90 €,"1.008,38 €", , ,http://www.immobilienscout24.de/expose/108776435
Exzellentes Wohnen am Leipziger Platz!,10117 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,8 von 8,167 m²,ab sofort,3,2,1, , ,2.500 €,+ 602 €,keine Angabe,3.102 € (zzgl. Heizkosten), , ,http://www.immobilienscout24.de/expose/106328312
"Traumhaftes Penthouse mit Klimaanlage, Einbaküche und 2 Terrassen","Gotlandstraße 8, 10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)", ,6 von 6,"76,2 m²",sofort,2, , , ,Nach Vereinbarung,"1.752,60 €",+ 250 €,in Nebenkosten enthalten,"2.002,60 €", , ,http://www.immobilienscout24.de/expose/107979831
High-End Apartment mit luxuriöser Möblierung – Erstbezug!,"Gabriele-Tergit-Promenade 21, 10963 Berlin, Tiergarten (Tiergarten)", ,8,54 m²,Sofort,2,1,1, , ,1.670 €,keine Angabe,in Nebenkosten enthalten,1.670 € (zzgl. Nebenkosten), , ,http://www.immobilienscout24.de/expose/108651878
Gemütliche Wohnung in Frohnau,"Maximiliankorso 45, 13465 Berlin, Frohnau (Reinickendorf)", ,0 von 3,"70,64 m²",sofort,2,1,1, , ,"692,27 €","+ 183,66 €","+ 73,47 €","949,40 €", , ,http://www.immobilienscout24.de/expose/108521499
1 Zimmer Souterrain Wohnung im Hinterhaus in Kreuzberg direkt am Görlitzer Park zu vermieten!,"Oppelner Str. 20, 10997 Berlin, Kreuzberg (Kreuzberg)", ,0 von 3,36 m²,15.12.2018,1, ,1, ,Nein,500 €,+ 90 €,in Nebenkosten enthalten,590 €, , ,http://www.immobilienscout24.de/expose/108559241
The place to be – Apartments am Potsdamer Platz!,"Alte Potsdamer Straße 13, 10785 Berlin, Tiergarten (Tiergarten)", ,4,"105,36 m²", ,3,2,2, , ,1.750 €,+ 474 €,in Nebenkosten enthalten,2.224 €, , ,http://www.immobilienscout24.de/expose/108669355
"Betreutes Wohnen, Altersgerechtes Wohnen","Kaiserstrasse 4c, 12209 berlin, Lichterfelde (Steglitz)", ,0 von 4,416 m²,2018,11, , , ,Nach Vereinbarung,10.816 €,+ 400 €,in Nebenkosten enthalten,11.216 €, , ,http://www.immobilienscout24.de/expose/105274614
Großzügige Altbauwohnung mit Balkon auf der roten Insel,"Leberstraße 14, 10829 Berlin, Schöneberg (Schöneberg)", ,2 von 4,139 m²,sofort,"4,5", ,1, , ,1.740 €,+ 204 €,+ 134 €,2.078 €, , ,http://www.immobilienscout24.de/expose/108792603
Schönes Apartment als Zweitwohnung oder Hotelersatz,"Motzstr. 57, 10777 Berlin, Schöneberg (Schöneberg)", ,1 von 6,29 m²,sofort,1, ,1, , ,550 €,+ 77 €,inkl. 25 €,627 €, , ,http://www.immobilienscout24.de/expose/108757474
Erstbezug nach Sanierung - Wohnen im schönen Friedenau,"Lauterstr. 27/28, 12159 Berlin, Friedenau (Schöneberg)", ,3 von 5,"112,87 m²",nach Vereinbarung,3,2,1, ,Nach Vereinbarung,1.330 €,+ 190 €,+ 120 €,1.640 €, , ,http://www.immobilienscout24.de/expose/108380017
Helle 2 Zi.Whg. in den Sarotti-Höfen mit offener Wohnküche // Besichtigung nach Vereinbarung,"Mehringdamm 57, 10961 Berlin, Kreuzberg (Kreuzberg)", ,2 von 3,"88,78 m²",01.01.2019,2,1,1, , ,1.245 €,+ 105 €,nicht in Nebenkosten enthalten,1.350 € (zzgl. Heizkosten), , ,http://www.immobilienscout24.de/expose/108798048
"umfassend modernisiert mit Einbauküche, Dusche und Parkett","Andreasstraße 20, 10243 Berlin, Friedrichshain (Friedrichshain)", ,5 von 17,"29,6 m²",sofort,1, , , , ,755 €,+ 32 €,+ 38 €,825 €, , ,http://www.immobilienscout24.de/expose/108794345
Sanierungsbeginn für gemütliche 2 Zimmerwohnung mit Garten,"Schwiegersteig 18, 13629 Berlin-Spandau, Siemensstadt (Spandau)", ,0 von 2,"52,57 m²",01.01.2019,2,1,1, , ,618 €,+ 95 €,+ 40 €,753 €, , ,http://www.immobilienscout24.de/expose/108411007
Studentenwohnung möbliert nur an Studenten mit Studienbescheinigung,"Bitterfelder Str. 27, 12681 Alt-Hohenschönhausen, Marzahn (Marzahn)", ,1 von 3,38 m²,sofort,"1,5",1,1, , ,450 €,+ 70 €,inkl. 0 €,520 €, , ,http://www.immobilienscout24.de/expose/108616312
"Umfassend modernisiert mit Einbauküche, Duschbad und Parkett","Heckmannufer 3, 10997 Berlin, Kreuzberg (Kreuzberg)", ,3 von 5,50 m²,sofort,2, , , , ,1.100 €,+ 63 €,+ 62 €,1.225 €, , ,http://www.immobilienscout24.de/expose/108541257
"Schöne, 2 Zimmer Wohnung in Berlin, Borsigwalde Wittenau (Reinickendorf)",13509 Berlin Die vollständige Adresse der Immobilie erhalten Sie vom Anbieter., ,3 von 3,65 m²,ab sofort,2, ,1, ,Nein,639 €,+ 65 €,nicht in Nebenkosten enthalten,704 € (zzgl. Heizkosten), , ,http://www.immobilienscout24.de/expose/108504589
Schöne Wohnung am Weißensee,"Berliner Allee 189, 13088 Berlin, Weißensee (Weißensee)", ,2 von 4,69 m²,Sofort,2,1,1, ,Nach Vereinbarung,540 €,+ 120 €,nicht in Nebenkosten enthalten,660 € (zzgl. Heizkosten), , ,http://www.immobilienscout24.de/expose/108725097
