id,produto,channel,free_user,user_plan,t,c
2856,B,33,1,1,2,0
680,B,11,0,0,0,1
4932,B,11,0,1,9,0
3726,B,11,0,0,9,0
1823,B,22,0,1,9,0
3703,B,33,1,1,0,1
5536,B,22,1,1,22,0
1454,A,44,1,1,10,1
379,B,22,1,1,9,0
296,A,44,1,1,0,1
1155,B,22,0,1,9,0
1476,A,44,1,1,10,1
3528,B,22,1,0,0,1
494,B,77,1,0,3,1
4973,B,11,0,0,9,0
2102,B,11,0,0,9,0
709,B,33,1,1,0,1
3813,B,33,1,1,0,1
2733,B,11,0,0,9,0
5224,B,33,1,1,23,0
5152,B,33,0,1,9,0
86,B,22,1,1,18,0
1764,B,22,0,0,9,0
2342,A,66,1,1,17,0
1618,A,44,1,1,17,1
1809,B,22,1,1,7,0
4682,B,88,0,0,9,0
2453,B,22,1,1,10,0
5180,B,33,1,1,6,0
4459,B,77,1,1,6,0
2448,B,22,0,1,9,0
5501,A,44,1,1,31,0
3518,B,22,1,0,0,1
4594,B,77,0,0,9,0
3958,B,33,1,1,2,0
3520,B,22,1,1,13,1
2142,B,33,0,1,9,0
1259,B,22,1,0,9,0
1769,B,77,1,0,0,1
2308,A,44,1,1,16,0
2055,B,11,0,0,9,0
2381,A,44,1,1,18,1
5606,B,22,1,1,22,0
3335,B,77,1,0,10,0
915,A,44,1,1,0,1
2484,B,22,1,1,19,0
739,B,22,1,1,22,0
409,B,22,0,0,9,0
3475,B,77,1,0,0,1
1160,B,77,1,0,18,1
3906,B,33,1,1,2,0
3978,B,33,1,1,17,0
11,B,88,0,0,0,1
2199,A,44,1,1,0,1
2071,B,22,1,0,2,1
5414,A,44,1,1,25,0
129,B,11,1,0,0,1
2364,A,66,1,1,16,0
3223,A,44,1,1,0,1
3714,B,11,0,0,9,0
1890,B,99,0,0,9,0
5112,B,33,1,1,22,0
271,B,33,1,1,1,1
1096,B,22,1,1,9,0
3830,B,33,1,1,23,0
5063,B,11,0,1,9,0
2961,A,44,1,1,25,0
5234,B,33,1,0,13,0
1676,B,22,1,1,5,0
364,A,44,1,1,0,1
1727,B,22,0,0,9,0
3053,B,33,1,0,0,1
3468,B,88,0,0,9,0
4338,B,22,1,1,19,0
2428,B,22,1,0,5,0
2268,A,44,1,1,16,0
5371,A,44,1,1,24,0
869,B,22,1,1,9,0
2981,B,33,1,1,0,1
2850,B,33,1,1,17,0
2378,A,44,1,1,11,1
1109,B,77,1,0,0,1
1883,B,22,1,0,0,1
2170,B,33,1,0,17,0
1034,B,77,1,0,0,1
3792,B,33,1,0,0,1
2418,B,22,1,1,27,0
1787,B,77,0,0,1,1
5203,B,33,1,0,17,0
1732,B,22,0,1,9,0
5201,B,33,1,1,4,0
1214,B,77,1,0,0,1
550,B,22,1,0,5,0
3151,A,44,1,1,5,1
3550,B,88,1,0,9,0
181,B,33,1,1,0,1
789,B,22,1,1,8,0
3928,A,44,1,1,0,1
2872,B,33,1,0,23,0
3181,A,44,1,1,11,1
2224,A,44,1,1,0,1
1576,B,22,0,0,9,0
369,A,44,1,1,0,1
4149,A,44,1,1,9,0
1825,B,22,0,0,9,0
3092,A,44,1,1,0,1
948,B,22,1,0,8,0
3059,B,22,1,1,22,0
4770,B,88,0,0,9,0
914,B,22,1,0,9,0
2835,B,33,1,0,1,0
2582,B,77,0,0,9,0
1093,B,77,1,0,0,1
3007,B,33,1,0,1,1
2852,B,33,1,1,4,1
2924,B,33,1,1,17,0
4777,B,88,0,1,9,0
3981,B,33,1,1,17,0
4665,B,88,0,0,9,0
1599,A,44,1,1,4,1
2991,B,33,1,0,1,1
2698,B,22,1,0,0,1
2185,B,33,1,1,0,1
4823,B,88,0,0,9,0
3328,B,77,1,0,0,1
3752,B,11,1,1,7,0
3392,B,88,0,0,9,0
406,B,77,1,0,0,1
4553,B,77,0,0,9,0
4657,B,88,0,0,9,0
832,B,22,1,0,5,0
72,B,22,1,0,3,0
4596,B,77,0,0,9,0
2905,B,33,0,1,9,0
97,B,11,0,0,6,1
215,B,22,1,1,22,0
356,A,44,1,1,12,1
1294,B,22,1,0,1,1
843,B,22,1,1,4,0
3640,B,11,1,0,2,0
24,B,88,0,0,0,1
1319,B,22,1,0,2,1
4438,B,77,0,0,9,0
1384,B,22,1,1,21,0
3581,B,22,1,1,1,1
5643,B,22,1,1,31,0
3053,B,22,1,1,5,0
1721,B,22,1,1,5,0
2989,A,44,1,1,1,0
1627,B,22,1,0,9,0
352,A,44,1,1,0,1
5402,A,44,1,1,25,0
569,B,22,1,0,0,1
2177,B,33,0,1,3,1
2834,B,22,1,0,7,1
5023,B,11,0,0,9,0
1683,B,77,0,0,8,1
5548,B,22,1,0,14,0
2023,B,22,1,0,1,1
1605,B,22,1,1,8,0
359,A,44,1,1,17,1
3936,B,33,1,1,19,0
4651,B,88,0,0,9,0
2073,B,22,1,0,1,1
3918,B,33,1,1,0,1
508,A,99,1,1,7,1
191,B,33,0,1,0,1
4095,A,44,1,1,9,0
3476,B,77,1,0,1,1
869,A,44,1,1,16,1
5384,A,44,1,1,16,0
19,B,22,1,1,9,0
5935,B,77,1,0,31,0
2355,A,66,1,2,19,0
3073,A,44,1,1,7,1
2892,B,33,1,0,0,1
485,B,22,1,1,18,0
3566,B,22,1,0,0,1
591,B,22,1,0,1,1
1197,B,77,0,0,1,1
3705,B,11,0,1,9,0
1170,B,77,1,0,7,1
2369,A,66,1,2,9,0
1437,B,33,1,1,3,1
3014,A,44,1,1,24,0
934,B,22,1,1,5,0
1550,B,22,0,0,9,0
5584,B,22,1,0,9,0
1470,B,22,1,0,22,0
1630,B,22,0,1,9,0
458,B,22,1,1,15,0
5254,B,33,1,1,9,0
5071,B,11,0,0,9,0
1732,B,77,1,0,0,1
3796,B,33,1,0,1,1
527,B,22,1,0,2,1
1846,B,77,0,1,1,1
4087,A,44,1,1,30,0
5742,B,77,1,0,10,0
1983,B,22,1,0,0,1
3489,B,22,1,0,2,1
1760,B,77,1,0,0,1
833,A,44,1,1,17,1
3046,B,33,1,0,0,1
4980,B,11,1,0,4,0
975,B,22,1,1,9,0
4773,B,88,0,0,9,0
3856,B,33,0,1,0,1
1941,B,99,0,0,9,0
3514,B,22,1,0,0,1
2056,B,11,1,0,6,0
3060,A,44,1,1,10,1
2801,B,11,1,1,31,0
1736,B,77,1,0,0,1
452,B,77,1,1,6,1
2657,B,22,1,0,1,1
635,B,22,1,1,9,0
4425,B,22,0,1,9,0
2671,B,22,1,0,0,1
1101,B,22,1,0,9,0
5059,B,11,1,1,7,0
5896,B,77,0,0,9,0
3889,B,33,1,1,10,0
1675,B,77,1,0,0,1
2421,B,22,1,1,5,0
2992,B,33,0,1,4,1
1257,B,22,1,1,5,0
2560,B,77,0,1,9,0
3021,A,44,1,1,16,0
5249,B,33,1,1,12,0
2483,B,77,1,0,0,1
5508,A,44,1,1,16,0
3660,B,11,0,0,9,0
4806,B,88,0,1,9,0
5367,A,44,1,1,16,0
3109,A,44,1,1,7,1
595,B,22,1,1,18,0
4801,B,88,0,0,9,0
2108,B,33,1,1,0,1
868,B,22,1,1,4,0
3309,B,77,1,0,0,1
636,B,22,1,0,5,0
2544,B,77,0,1,9,0
1368,B,33,1,1,0,1
3266,B,77,1,0,6,0
3120,A,44,1,1,7,1
2168,B,33,1,0,0,1
2147,B,33,0,1,9,0
51,A,66,1,2,0,1
4497,B,77,0,0,9,0
3852,B,33,1,1,28,0
181,B,22,0,0,9,0
2186,B,33,1,0,0,1
5617,B,22,1,1,4,0
415,B,77,1,0,0,1
3847,B,33,1,0,13,0
2605,B,88,0,0,9,0
1802,B,22,1,1,9,0
2156,B,33,0,1,9,0
3860,B,33,1,1,14,1
2171,B,33,1,1,23,0
906,B,22,1,1,9,0
2437,B,77,1,0,0,1
9,B,22,1,0,9,0
717,B,33,1,1,0,1
5554,B,22,0,0,9,0
15,B,88,0,0,0,1
3916,B,33,1,1,17,0
1755,B,77,1,0,1,1
5,B,22,1,1,22,0
5653,B,22,1,1,5,0
2169,B,33,1,0,0,1
4326,B,22,0,0,9,0
3719,B,33,1,0,0,1
754,B,22,0,0,9,0
643,B,22,1,0,19,0
1728,B,77,1,0,13,1
1353,B,22,1,1,22,0
